pupyear,sitedate,sitecode,region,lat,longit,brand,adjsex
2005,6/7/2005,SMI,8,34.03,-120.44,2328,F
2005,6/7/2005,SMI,8,34.03,-120.44,2352,F
2005,6/7/2005,SMI,8,34.03,-120.44,2358,F
2005,6/7/2005,SMI,8,34.03,-120.44,2369,F
2005,6/7/2005,SMI,8,34.03,-120.44,2379,F
2005,6/7/2005,SMI,8,34.03,-120.44,2507,F
2005,6/7/2005,SMI,8,34.03,-120.44,2634,F
2005,6/7/2005,SMI,8,34.03,-120.44,2635,F
2005,6/7/2005,SMI,8,34.03,-120.44,2645,F
2005,6/7/2005,SMI,8,34.03,-120.44,2680,F
2005,6/7/2005,SMI,8,34.03,-120.44,2774,F
2005,6/7/2005,SMI,8,34.03,-120.44,2896,F
2005,6/7/2005,SMI,8,34.03,-120.44,2934,F
2005,6/7/2005,SMI,8,34.03,-120.44,2941,F
2005,6/7/2005,SMI,8,34.03,-120.44,2957,F
2005,6/7/2005,SMI,8,34.03,-120.44,2995,F
2005,6/7/2005,SMI,8,34.03,-120.44,3005,F
2005,6/7/2005,SMI,8,34.03,-120.44,3051,F
2005,6/7/2005,SMI,8,34.03,-120.44,3077,F
2005,6/7/2005,SMI,8,34.03,-120.44,3079,F
2005,6/7/2005,SMI,8,34.03,-120.44,3099,F
2005,6/7/2005,SMI,8,34.03,-120.44,3112,F
2005,6/7/2005,SMI,8,34.03,-120.44,3169,F
2005,6/7/2005,SMI,8,34.03,-120.44,3213,F
2005,6/7/2005,SMI,8,34.03,-120.44,3244,F
2005,6/7/2005,SMI,8,34.03,-120.44,3259,F
2005,6/7/2005,SMI,8,34.03,-120.44,3264,F
2005,6/7/2005,SMI,8,34.03,-120.44,3276,F
2005,6/7/2005,SMI,8,34.03,-120.44,3346,F
2005,6/7/2005,SMI,8,34.03,-120.44,3427,F
2005,6/7/2005,SMI,8,34.03,-120.44,3483,F
2005,6/7/2005,SMI,8,34.03,-120.44,3490,F
2005,6/7/2005,SMI,8,34.03,-120.44,3928,F
2005,6/7/2005,SMI,8,34.03,-120.44,4260,F
2005,6/7/2005,SMI,8,34.03,-120.44,4353,F
2005,6/7/2005,SMI,8,34.03,-120.44,4388,F
2005,6/7/2005,SMI,8,34.03,-120.44,4490,F
2005,6/7/2005,SMI,8,34.03,-120.44,4774,F
2005,6/7/2005,SMI,8,34.03,-120.44,4828,F
2005,6/7/2005,SMI,8,34.03,-120.44,4910,F
2005,6/7/2005,SMI,8,34.03,-120.44,4943,F
2005,6/7/2005,SMI,8,34.03,-120.44,4956,F
